movie_id,title,tags
1290821,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past. Action Crime Thriller Jason Statham Bodhi Rae Breathnach Naomi Ackie Ric Roman Waugh home invasion mysterious girl ghosts of the past isolated island child protection suspenseful solitary life hidden secret close‑quarters combat dangerous escalation storm rescue unexpected threat violent assault protective instinct lone protector intense action thriller siege situation"
1084242,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before. Adventure Animation Comedy Family Mystery Ginnifer Goodwin Jason Bateman Ke Huy Quan Jared Bush snake bunny fox cop sequel anthropomorphism animals displacement buddy cop buddy comedy complex playful talking animal 3d animation embarrassed excited"
1292695,They Will Kill You,"A woman answers a help wanted ad to be a housekeeper in a mysterious New York City high-rise, unaware that she is entering a community that has seen a number of disappearances over the years and may be under the grip of a Satanic cult. Action Comedy Horror Zazie Beetz Myha'la Patricia Arquette Kirill Sokolov new york city ritual abusive father gore cult survival disappearance housekeeper survival horror high rise satanic cult manhattan, new york city sister sister relationship mysterious disappearance action horror"
1314481,The Devil Wears Prada 2,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival. Comedy Drama Meryl Streep Anne Hathaway Emily Blunt David Frankel new york city based on novel or book sequel fashion nostalgic fashion magazine dramedy magazine editor fashion industry introspective fashionista ambiguous amused exhilarated"
755898,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world. Science Fiction Thriller Ice Cube Eva Longoria Clark Gregg Rich Lee government attack privacy surveillance found footage cybersecurity district online privacy screenlife war"
249397,Nymphomaniac: Vol. II,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care. Drama Mystery Charlotte Gainsbourg Stellan Skarsgård Stacy Martin Lars von Trier bondage whip sexuality masochism sex therapy chapter sadomasochism sequel sexual violence love nymphomaniac tragedy loneliness masturbation therapy softcore bdsm addict sexual pleasure sexually aggressive woman pleasure virginity abortion sex cruel
1339713,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price. Horror Michael Johnston Inde Navarrette Cooper Tomlinson Curry Barker obsession supernatural possession wish evil spirit love demon couple demonic possession macabre folk horror supernatural horror toy psychological spell psychological horror cursed object mean spirited tragic monkey's paw"
1235192,Wormtown,"One year into a plague of flesh-eating, mind-altering worms, the nocturnal town of Ashland, Ohio, has embraced the parasites’ rule. Under cult-like Mayor Joshua, zealous Ranchers spread their gospel—by persuasion or by force. A trio of uninfected women cling to survival through scavenging, extreme hygiene, and evasion. But everyone breaks eventually, unleashing betrayal, sacrilege, and body horror. Science Fiction Horror Adventure Caitlin McWethy Rachel Ryu Emily Soppe Sergio Pinheiro "
1038918,Magistrate Woman Prison Collection II, Drama History Shin'ya Ohwada Ayako Takaishi Kyōko Aizome Toru Harada 
855435,Faces of Death,"A woman, employed as a website content moderator, comes across a series of violent videos reproducing death scenes from a film. Horror Barbie Ferreira Dacre Montgomery Josie Totah Daniel Goldhaber post-traumatic stress disorder (ptsd) kidnapping beheading trauma sequel murder serial killer internet slasher violent death home invasion death death of sister viral video internet culture tv news anchor copycat killer social media influencer snuff film meta content moderation tense disgusted meta narrative"
938150,Wardriver,"He’s a Wardriver: a hacker who steals from banks, not people—until he’s noticed. Now the money turns violent, and the woman caught in it could save him or kill them both. Thriller Crime Dane DeHaan Sasha Calle Mamoudou Athie Rebecca Thomas "
1419406,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves. Action Crime Drama Thriller Jackie Chan Zhang Zifeng Tony Leung Ka-fai Larry Yang race against time ex-cop betrayal macau hand to hand combat manhunt hidden agenda hacked camera system cryptocurrency security breach tracking expert spectacular action scenes surveillance city family stakes
840464,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home. Adventure Thriller Science Fiction Gerard Butler Morena Baccarin Roman Griffin Davis Ric Roman Waugh natural disaster shelter protective father traumatized child audacious human resilience emotional trauma post‑apocalyptic journey family survival harsh environment constant threat resourceful mother military authority collapse of society resource scarcity parental sacrifice lawless zones"
976912,Graphic Desires,"When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession. Thriller Crime David Wayman Sian Altman May Kelly Andy Edwards infidelity cheating killing murder erotic thriller murdered dating app"
1510745,Bodycam,"A call to a quiet suburban home unleashes unthinkable carnage when two officers mistakenly shoot a man and his infant child, spiraling the tragedy into a fierce, unrelenting fall into the unknown. Horror Jaime M. Callica Sean Rogerson Catherine Lough Haggquist Brandon Christensen paranormal phenomena police corruption macabre found footage pov (point of view) police murders bodycam absurd tragic unknown entity"
1414413,Brothers Under Fire,"Captain Jordan Wright's squadron on leave for a wedding in Mexico encounters a murderous cartel. As Jordan tries to lead survivors to safety, war erupts between his squad and the cartel, forcing him into a battle to save his men. Action Thriller Mystery Drama Kiefer Sutherland Tommy Martinez Ashton Sanders Justin Chadwick survival military cartel action méxico"
157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage. Adventure Drama Science Fiction Matthew McConaughey Anne Hathaway Michael Caine Christopher Nolan rescue future spacecraft race against time artificial intelligence (a.i.) nasa time warp dystopia expedition space travel wormhole famine hibernation black hole quantum mechanics family relationships love space apocalypse planet robot astronaut scientist single father farmer space station gravity space adventure time paradox time-manipulation cryonics father daughter relationship 2060s exhilarated
1579,Apocalypto,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life. Action Drama History Rudy Youngblood Raoul Max Trujillo Gerardo Taracena Mel Gibson loss of loved one maya civilization village solar eclipse affectation slavery tribe native american forest human sacrifice eclipse central america ancient civilization angry aggressive 16th century candid maya temple ancient language film absurd dramatic critical admiring adoring ambiguous ambivalent approving assertive audacious authoritarian awestruck baffled celebratory commanding defiant earnest empathetic enchant"
976912,Graphic Desires,"When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession. Thriller Crime David Wayman Sian Altman May Kelly Andy Edwards infidelity cheating killing murder erotic thriller murdered dating app"
510657,Wellwood,Nick makes an extraterrestrial discovery that he decides will cure his wife of her terminal illness. Science Fiction Horror Drama Thriller Keisha Castle-Hughes Lance E. Nichols Camille Balsamo Eliza Hooper 
1368166,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power. Mystery Thriller Sydney Sweeney Amanda Seyfried Brandon Sklenar Paul Feig based on novel or book manipulation psychological thriller housekeeper dominance attic housemaid enigmatic adaptation secret mystery suspense thriller power shift social disparity"
7451,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi. Action Adventure Thriller Crime Drama Vin Diesel Asia Argento Marton Csokas Rob Cohen mission biological weapon sports car cold war prague, czech republic nsa agent adrenaline junkie thrill seeker"
1632181,Accidental Partners,Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge. Comedy Romance Family Angelique Boyer Bárbara de Regil Diego Klein Ihtzi Hurtado 
1171145,Crime 101,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher. Crime Thriller Chris Hemsworth Mark Ruffalo Halle Berry Bart Layton robbery based on novel or book jewelry heist police chase los angeles, california police detective diamond heist insurance lapd motorcycle chase jewel robbery ford mustang amused car chases antwerp diamonds"
78192,Michael Jackson: The Life of an Icon,"See Michael Jackson, one of the most recognizable and popular entertainers of all time, like never before in the feature-length tribute Michael Jackson: The Life of an Icon. Known to millions of fans worldwide for his record-breaking albums, groundbreaking music videos, mesmerizing dance moves and humanitarian efforts, his true story has never really been told...until now. This unprecedented look into the King of Pop's fascinating life includes all-new interviews with his mother Katherine Jackson as well as siblings Tito and Rebbie Jackson,  his nephew  Jaafar Jackson and niece Tahkyah brings plenty Jackson and Friends ends and music legends such as Smokey Robinson, Dionne Warwick and  his 3 children and many more. Documentary Music Michael Jackson David Gest Tito Jackson Andrew Eastel "
1325734,The Drama,"A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails. Romance Comedy Drama Zendaya Robert Pattinson Mamoudou Athie Kristoffer Borgli infidelity boston, massachusetts dark comedy romcom engaged couple trust issues cautionary tense"
318256,Hot Girls Wanted,A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it. Documentary Stella May Brian Omally Ava Taylor Ronna Gradus porn star softcore craigslist woman director adult filmmaking sex trade adult
1159559,Scream 7,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all. Horror Mystery Crime Neve Campbell Courteney Cox Isabel May Kevin Williamson mask artificial intelligence (a.i.) sequel murder serial killer slasher whodunit killing spree self-referential reboot crime spree duringcreditsstinger shocking aggressive murder mystery masked villain murder spree teen horror bold horrified whodunnit"
440249,After Porn Ends 2,"After Porn Ends 2 picks up where its predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most current retirees and juxtaposes their experiences in a life after porn. Delving deeper into society's ongoing stigmas of race, misogyny, and the reality of decreasing opportunities for these former VHS box cover stars. For some, their careers in adult entertainment is accepted proudly and without regret. In fact, it seems to have proven to be the pathway to their current happiness and inner peace. For others, however, a career in porn has proven to be a conduit to certain despair as they struggle to find a way to bury their past and emerge with a new career or calling. Documentary Ginger Lynn Lisa Ann Janine Lindemulder Bryce Wagoner interview porn actress observational documentary adult industry workers porno adult film actress informative adult"
278,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope. Drama Crime Tim Robbins Morgan Freeman Bob Gunton Frank Darabont prison friendship police brutality corruption based on novel or book freedom hope prison cell delinquent redemption parole board prison escape wrongful imprisonment interracial friendship framed for murder hopeless 1940s voiceover appreciative exhilarated"
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins! Science Fiction Action Adventure Robert Downey Jr. Chris Evans Mark Ruffalo Joss Whedon new york city superhero shield based on comic alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu)"
1173559,Insidious Inferno,A secluded cottage is plagued by gruesome murders and unbeknownst to the inhabitants something other worldly lurks within the halls. Can the couple solve the mystery of the cursed grounds in time or will they open the door to the inferno? Horror Stephanie Leet Neil Green Chynna Rae Shurts Calvin Morie McCarthy 
